timestamp,actual,prediction,lower_bound,upper_bound
2020-01-01 00:00:00,4.0,3.9000000000000004,3.8500000000000005,3.95
2020-01-01 01:00:00,4.1000000000000005,4.0,3.95,4.05
2020-01-01 02:00:00,4.2,4.1000000000000005,4.050000000000001,4.15
2020-01-01 03:00:00,4.3,4.2,4.15,4.25
2020-01-01 04:00:00,4.4,4.3,4.25,4.35
2020-01-01 05:00:00,4.5,4.4,4.3500000000000005,4.45
2020-01-01 06:00:00,4.6000000000000005,4.5,4.45,4.55
2020-01-01 07:00:00,4.7,4.6000000000000005,4.550000000000001,4.65
2020-01-01 08:00:00,4.800000000000001,4.7,4.65,4.75
2020-01-01 09:00:00,4.9,4.800000000000001,4.750000000000001,4.8500000000000005
